state,state_name,threshold,mean.min,mean.max,mean.mean,mean.sd,mean.slope
CT,Connecticut,50,74.54931640625,118.77299499511719,100.51115417480469,10.754313468933105,-0.09942048788070679
CT,Connecticut,350,134.8226776123047,159.7135467529297,146.5040283203125,5.863651752471924,-0.10078157484531403
CT,Connecticut,650,153.93382263183594,177.26084899902344,166.99632263183594,5.089085578918457,-0.08296898007392883
CT,Connecticut,1250,185.7755889892578,208.80874633789062,197.1970977783203,4.936791896820068,-0.1453571766614914
CT,Connecticut,1950,214.2992401123047,251.652099609375,229.57980346679688,7.761157512664795,-0.2678278386592865
CT,Connecticut,2500,240.41481018066406,306.4829406738281,262.8669128417969,15.482087135314941,-0.6291563510894775
DE,Delaware,50,18.7520751953125,95.22576904296875,65.6664047241211,18.393430709838867,-0.35624220967292786
DE,Delaware,350,107.90391540527344,138.34678649902344,124.02339172363281,7.511805057525635,-0.22126606106758118
DE,Delaware,650,135.23562622070312,161.06480407714844,147.03665161132812,6.46735954284668,-0.13926322758197784
DE,Delaware,1250,165.6862030029297,187.89698791503906,175.19110107421875,5.1945037841796875,-0.11446602642536163
DE,Delaware,1950,190.881103515625,214.33834838867188,201.6202392578125,5.292865753173828,-0.14178182184696198
DE,Delaware,2500,208.44735717773438,239.1557159423828,221.7718048095703,6.399812698364258,-0.16937962174415588
IA,Iowa,50,64.98990631103516,118.23271942138672,94.51283264160156,12.228104591369629,-0.011626646853983402
IA,Iowa,350,111.95783233642578,154.72280883789062,138.8709716796875,8.589116096496582,0.00789672788232565
IA,Iowa,650,139.0879669189453,171.8289031982422,158.79409790039062,7.230379581451416,-0.05408191308379173
IA,Iowa,1250,171.1892852783203,199.23159790039062,187.05368041992188,6.699796676635742,-0.09088420122861862
IA,Iowa,1950,197.1621856689453,237.233154296875,217.51841735839844,8.62481689453125,-0.08398996293544769
IA,Iowa,2500,217.03268432617188,278.09368896484375,244.2855682373047,12.576069831848145,-0.10315506160259247
IL,Illinois,50,49.457977294921875,106.34088134765625,81.64961242675781,12.39172077178955,-0.059597279876470566
IL,Illinois,350,98.9896240234375,144.22079467773438,128.57821655273438,8.39409351348877,-0.059015315026044846
IL,Illinois,650,129.85816955566406,164.0660858154297,149.59767150878906,7.041940212249756,-0.08616472780704498
IL,Illinois,1250,161.71173095703125,190.0035858154297,177.6883087158203,6.158639907836914,-0.11693055927753448
IL,Illinois,1950,188.2865447998047,220.13461303710938,205.95584106445312,6.95502233505249,-0.10599276423454285
IL,Illinois,2500,205.982421875,250.7445068359375,229.1800079345703,9.415709495544434,-0.12309955060482025
IN,Indiana,50,49.34930419921875,104.71417999267578,80.813323974609375,12.34239387512207,-0.11113868653774261
IN,Indiana,350,102.67808532714844,145.91175842285156,129.4464874267578,8.047945022583008,-0.09966687113046646
IN,Indiana,650,133.10264587402344,166.77015686035156,150.82423400878906,6.865036487579346,-0.11538853496313095
IN,Indiana,1250,165.08392333984375,193.1150360107422,179.488037109375,6.0503082275390625,-0.1283470094203949
IN,Indiana,1950,191.1235809326172,225.41360473632812,208.82223510742188,7.061480522155762,-0.11567331105470657
IN,Indiana,2500,210.11936950683594,258.57305908203125,233.12367248535156,9.590045928955078,-0.13920331001281738
KY,Kentucky,50,15.590780258178711,80.21605682373047,53.11612319946289,15.438846588134766,-0.2371668964624405
KY,Kentucky,350,88.83342742919922,128.00534057617188,112.21305847167969,7.9535813331604,-0.13462062180042267
KY,Kentucky,650,117.4753189086914,151.40509033203125,136.628173828125,7.04541540145874,-0.1280025690793991
KY,Kentucky,1250,152.81764221191406,180.91134643554688,167.31753540039062,5.999709606170654,-0.11367576569318771
KY,Kentucky,1950,182.28018188476562,207.79290771484375,195.20364379882812,5.732096195220947,-0.11310583353042603
KY,Kentucky,2500,200.5870819091797,230.54551696777344,216.23809814453125,6.725136756896973,-0.11273364722728729
MA,Massachusetts,50,77.75611114501953,122.67195892333984,104.78242492675781,10.543408393859863,-0.17325997352600098
MA,Massachusetts,350,139.75930786132812,163.3587646484375,150.7411346435547,5.66250467300415,-0.12839756906032562
MA,Massachusetts,650,158.84141540527344,181.26040649414062,171.5668487548828,4.872599124908447,-0.10425254702568054
MA,Massachusetts,1250,190.83905029296875,215.65716552734375,202.21966552734375,5.339817523956299,-0.1719927340745926
MA,Massachusetts,1950,220.8497772216797,265.7950439453125,238.04736328125,9.746735572814941,-0.3793177604675293
MA,Massachusetts,2500,248.46878051757812,316.1105651855469,270.6788635253906,16.559097290039062,-0.6175252795219421
MD,Maryland,50,24.863143920898438,96.58134460449219,69.37474822998047,16.475431442260742,-0.2852129638195038
MD,Maryland,350,108.96927642822266,139.50962829589844,124.57256317138672,7.336648464202881,-0.17197473347187042
MD,Maryland,650,134.90687561035156,159.9465789794922,147.52761840820312,6.403872013092041,-0.11706100404262543
MD,Maryland,1250,165.9103240966797,189.36390686035156,176.57736206054688,5.460073471069336,-0.10668984800577164
MD,Maryland,1950,193.36781311035156,219.43772888183594,204.5674591064453,5.978398323059082,-0.1409590244293213
MD,Maryland,2500,212.45773315429688,247.3064727783203,226.67877197265625,7.831007480621338,-0.17557768523693085
ME,Maine,50,96.977264404296875,143.1707305908203,125.30413818359375,9.0653533935546875,-0.04669985547661781
ME,Maine,350,153.8824462890625,176.81478881835938,166.83409118652344,5.458065032958984,-0.053830429911613464
ME,Maine,650,176.3834991455078,199.451416015625,188.69175720214844,5.212921142578125,-0.10797131806612015
ME,Maine,1250,210.63601684570312,249.26731872558594,226.22076416015625,8.877312660217285,-0.2759146988391876
ME,Maine,1950,253.45814514160156,305.157958984375,272.0898132324219,15.25373363494873,-0.20231278240680695
ME,Maine,2500,283.7068786621094,317.3638916015625,298.2755432128906,14.140650749206543,1.924127459526062
MI,Michigan,50,76.54144287109375,130.25099182128906,111.01152038574219,11.792549133300781,-7.749419310130179e-4
MI,Michigan,350,138.92222595214844,169.4742431640625,154.50079345703125,7.483562469482422,-0.001080479589290917
MI,Michigan,650,160.6820831298828,188.65106201171875,175.4412078857422,6.8613386154174805,-0.03822833672165871
MI,Michigan,1250,192.37400817871094,233.10848999023438,209.28890991210938,8.968141555786133,-0.07475073635578156
MI,Michigan,1950,228.2220001220703,285.9164733886719,249.4226837158203,13.681977272033691,-0.07240210473537445
MI,Michigan,2500,251.3579559326172,309.93829345703125,272.8981018066406,16.268524169921875,-0.18306882679462433
MN,Minnesota,50,79.08776092529297,135.4958953857422,115.31502532958984,11.624436378479004,0.05501783639192581
MN,Minnesota,350,137.0762481689453,170.91127014160156,155.2998504638672,7.847917079925537,0.06876731663942337
MN,Minnesota,650,158.9760284423828,190.93032836914062,175.838623046875,7.575862407684326,-0.024307304993271828
MN,Minnesota,1250,189.15325927734375,234.96205139160156,209.10623168945312,9.979972839355469,-0.0529598593711853
MN,Minnesota,1950,221.8218536376953,284.410400390625,247.8416748046875,14.377073287963867,0.03760029748082161
MN,Minnesota,2500,243.02105712890625,299.9915771484375,269.083251953125,15.871968269348145,0.07484296709299088
MO,Missouri,50,31.048084259033203,90.49324798583984,63.79066467285156,13.045865058898926,-0.05487140268087387
MO,Missouri,350,89.59034729003906,134.85289001464844,117.1823501586914,8.818998336791992,-0.051853522658348083
MO,Missouri,650,118.64038848876953,156.11923217773438,140.4491424560547,7.5725555419921875,-0.05571272224187851
MO,Missouri,1250,151.72694396972656,182.40716552734375,169.9353485107422,6.2932329177856445,-0.11507295817136765
MO,Missouri,1950,179.9267578125,208.1675567626953,196.57920837402344,6.188623428344727,-0.11092130839824677
MO,Missouri,2500,196.35321044921875,230.97291564941406,216.85728454589844,7.496723175048828,-0.13182847201824188
NH,New Hampshire,50,85.68363189697266,132.4310302734375,115.00527954101562,9.812224388122559,-0.10430005192756653
NH,New Hampshire,350,147.64727783203125,170.5214080810547,158.97569274902344,5.720232009887695,-0.08417831361293793
NH,New Hampshire,650,170.37448120117188,191.06971740722656,181.28294372558594,4.947718620300293,-0.10479805618524551
NH,New Hampshire,1250,203.72032165527344,236.82769775390625,217.19076538085938,7.577787399291992,-0.2312833070755005
NH,New Hampshire,1950,237.77920532226562,292.04351806640625,256.6177062988281,13.328927040100098,-0.19032219052314758
NH,New Hampshire,2500,262.8641662597656,320.7197265625,284.318359375,17.262014389038086,-0.07506797462701797
NJ,New Jersey,50,47.255462646484375,106.083740234375,82.616943359375,14.798070907592773,-0.32106921076774597
NJ,New Jersey,350,118.6346206665039,147.42100524902344,134.00462341308594,6.809511184692383,-0.16320134699344635
NJ,New Jersey,650,145.16062927246094,167.7384490966797,155.52105712890625,5.7369818687438965,-0.13142557442188263
NJ,New Jersey,1250,173.8505859375,196.5700225830078,184.42999267578125,4.937009811401367,-0.13337133824825287
NJ,New Jersey,1950,199.4755401611328,230.2508087158203,212.5691375732422,6.230046272277832,-0.20136240124702454
NJ,New Jersey,2500,219.40480041503906,263.9781494140625,236.58843994140625,9.05661392211914,-0.3319171071052551
NY,New York,50,78.23786926269531,125.49752044677734,107.84207916259766,10.711284637451172,-0.051656171679496765
NY,New York,350,140.08929443359375,165.93399047851562,152.9005889892578,6.300288200378418,-0.08112411201000214
NY,New York,650,162.47613525390625,185.21133422851562,174.50450134277344,5.366739273071289,-0.0906984880566597
NY,New York,1250,195.44940185546875,226.8695068359375,208.43699645996094,6.759583950042725,-0.1606741100549698
NY,New York,1950,231.2788848876953,285.0020446777344,250.5482177734375,12.734716415405273,-0.26664069294929504
NY,New York,2500,258.02001953125,315.2940673828125,279.1351013183594,16.430904388427734,-0.2620790898799896
OH,Ohio,50,52.39531326293945,104.68882751464844,83.29461669921875,12.398661613464355,-0.17488667368888855
OH,Ohio,350,115.1053237915039,149.621826171875,133.29978942871094,7.38767671585083,-0.1283595710992813
OH,Ohio,650,141.11000061035156,169.9413299560547,154.78062438964844,6.608460426330566,-0.1469961553812027
OH,Ohio,1250,171.11436462402344,197.3258514404297,184.4044647216797,5.999579429626465,-0.17116239666938782
OH,Ohio,1950,197.8850860595703,232.83364868164062,214.91146850585938,7.496246337890625,-0.2036682814359665
OH,Ohio,2500,219.6525421142578,271.5718688964844,241.11480712890625,10.872992515563965,-0.2953435778617859
PA,Pennsylvania,50,65.10652923583984,113.87447357177734,93.51995849609375,11.619458198547363,-0.1964401751756668
PA,Pennsylvania,350,128.63897705078125,157.57728576660156,142.4461669921875,6.878026485443115,-0.13263118267059326
PA,Pennsylvania,650,151.4486846923828,176.71128845214844,164.12216186523438,6.037887096405029,-0.14094524085521698
PA,Pennsylvania,1250,183.48455810546875,210.55899047851562,196.34271240234375,6.047128677368164,-0.18280921876430511
PA,Pennsylvania,1950,214.8682861328125,260.99444580078125,232.5664520263672,10.153029441833496,-0.3308349549770355
PA,Pennsylvania,2500,243.5989227294922,303.4124755859375,264.7485046386719,15.312469482421875,0.02834087423980236
RI,Rhode Island,50,76.0068588256836,120.62054443359375,102.36729431152344,10.665899276733398,-0.12299925833940506
RI,Rhode Island,350,138.65274047851562,163.02374267578125,149.3935089111328,5.564520835876465,-0.11895018070936203
RI,Rhode Island,650,156.88746643066406,179.8079376220703,169.5899200439453,4.827226161956787,-0.07127901911735535
RI,Rhode Island,1250,187.7667694091797,208.9831085205078,198.94456481933594,4.7356719970703125,-0.12659791111946106
RI,Rhode Island,1950,215.2327117919922,248.69090270996094,230.38333129882812,6.966547966003418,-0.22867561876773834
RI,Rhode Island,2500,240.70697021484375,307.1517639160156,263.6111755371094,15.09329605102539,-0.5942670702934265
VA,Virginia,50,18.027385711669922,82.02519226074219,54.527732849121094,16.04606056213379,-0.27706632018089294
VA,Virginia,350,94.087799072265625,130.349609375,115.21745300292969,8.05048942565918,-0.22128348052501678
VA,Virginia,650,125.30116271972656,152.8771514892578,140.0416717529297,6.74301290512085,-0.1870858520269394
VA,Virginia,1250,160.6271209716797,184.37973022460938,171.55458068847656,5.751089572906494,-0.15026366710662842
VA,Virginia,1950,189.77296447753906,213.8781280517578,200.65435791015625,5.824743747711182,-0.15287894010543823
VA,Virginia,2500,209.79844665527344,241.5328826904297,223.18666076660156,7.341668128967285,-0.19696491956710815
VT,Vermont,50,83.63325500488281,135.31056213378906,116.6390609741211,10.485249519348145,-0.08940231055021286
VT,Vermont,350,146.52906799316406,172.050048828125,159.58599853515625,6.258170127868652,-0.08674737066030502
VT,Vermont,650,171.5913543701172,192.85107421875,182.06027221679688,5.179683208465576,-0.12145428359508514
VT,Vermont,1250,205.456298828125,241.59164428710938,218.7332763671875,8.242000579833984,-0.24685099720954895
VT,Vermont,1950,246.4852752685547,302.49981689453125,265.7864685058594,14.822676658630371,-0.5212363600730896
VT,Vermont,2500,266.93927001953125,319.96533203125,286.2851257324219,16.804473876953125,-0.22506394982337952
WI,Wisconsin,50,76.39153289794922,129.3586883544922,110.56639099121094,11.603913307189941,2.0479618979152292e-4
WI,Wisconsin,350,135.91732788085938,166.90484619140625,152.83229064941406,7.675751686096191,0.03233201056718826
WI,Wisconsin,650,158.82228088378906,186.00645446777344,173.40792846679688,6.813520908355713,-0.03452285751700401
WI,Wisconsin,1250,189.74400329589844,226.62240600585938,206.06890869140625,8.481202125549316,-0.06770458817481995
WI,Wisconsin,1950,220.5328826904297,284.24090576171875,245.59913635253906,14.287141799926758,-0.04439043998718262
WI,Wisconsin,2500,246.3497314453125,308.32861328125,272.34619140625,16.856277465820312,-1.639249239815399e-4
WV,West Virginia,50,36.01462173461914,95.19183349609375,71.095428466796875,13.767253875732422,-0.25834813714027405
