name,type,data,command,depend,seed,path,time,size,bytes,format,repository,iteration,parent,children,seconds,warnings,error
.Random.seed,object,4bc2b73a8daad3eb,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
breaks_squish_doy,function,8088f282a9588a92,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
calc_avg_slopes,function,2848170df9ed4791,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
calc_gdd_doy,function,1b6598c7e3e483a1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
check_k,function,995c8d86de80911a,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
check_zip_file,function,40fe103aa83dd50e,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
combine_results,object,01d832f449b921e6,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
controller,object,edfb56ec52d8be99,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
controller_hpc_heavy,object,b9bf02298d3206d1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
controller_hpc_light,object,13f585ddcac5d65f,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
controller_local,object,5189e8f3e1aaa660,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
df_doy_trend_1250,stem,dfe4cdcc3928eda4,1f49d5e57847f4cc,e2203eee0b21a6c3,2092300273,,2024-08-01T21:56:54Z,52b628e2ae40f127,772732,rds,local,vector,NA,,0.079,NA,NA
df_doy_trend_2500,stem,3c775f2aa7817bb2,f1c490ba67ff9a57,b815d70aa3ab0451,-398941819,,2024-08-01T21:56:24Z,03ac2875fe724a6d,851662,rds,local,vector,NA,,0.055,NA,NA
df_doy_trend_50,stem,4c3a0fd3c9828a0a,0573d7693da5969b,8d0aa8949afcfc21,-1195269891,,2024-08-01T21:56:11Z,51a6e7f7e3cda595,687907,rds,local,vector,NA,,0.055,NA,NA
doy_plot_100,stem,2c129910694c1e43,014a977c1691241d,2bf7018acdc8a49d,224333702,,2024-08-01T01:43:55Z,3a223621f24aacb3,1753988,file,local,vector,NA,,51.475,NA,NA
doy_plot_1000,stem,577991bae9bd2aaa,cba68d9167ead0c3,c724981a7b8be199,-1413202492,,2024-08-01T21:58:02Z,06710985e2d5a144,1911607,file,local,vector,NA,,44.236,NA,NA
